titles,annotations,Explicit,Implict,Ratio - ex=1 - imp=0,,,,,
Thessalia,2,,,#DIV/0!,,,,,
Troizen,2,,2,0,,,,,0
Etruria/Tuscia,1,1,,1,,,,,1
Alexandria,1,,1,0,,,,,0
Pelion M.,3,,,#DIV/0!,,,,,#DIV/0!
Epidauros,1,1,,1,,,,,1
Pharos,1,1,,1,,,,,1
Carthago,1,1,,1,,,,,1
Iolkos,1,1,,1,,,,,1
Philippoi,1,1,,1,,,,,#DIV/0!
Actium Pr.,1,1,,1,,,,,1
Delos (island),1,,1,0,,,,,0
Campi Phlegraei,1,1,,1,,,,,1
Mendesion Stoma,1,1,,1,,,,,0
Athenae,1,,1,0,,,,,#DIV/0!
Bolbitinon Stoma,1,1,,1,,,,,0
Kanobikon Stoma,1,1,,1,,,,,0
Sicilia (island),1,1,,1,,,,,0
Cyrene,1,,1,0,,,,,0
Mysia,1,1,,1,,,,,1
Pelousiakon Stoma,1,1,,1,,,,,0
Olympos (mountain in Greece),1,1,,1,,,,,1
Sacra Via,1,1,,1,,,,,1
Kos/Cos (island),2,2,,1,,,,,1
Helicon M.,2,,2,0,,,,,0
Britannia/Albion (island),1,1,,1,,,,,1
Colchis,1,1,,1,,,,,1
Phatnitikon Stoma,1,1,,1,,,,,0
Ilium/Troia,8,,,#DIV/0!,,,,,#DIV/0!
Persepolis/Parsa/Persai/Sat Setun,1,,1,0,,,,,0
Phrygia,1,,1,0,,,,,0
Ossa (mountain range),1,1,,1,,,,,#DIV/0!
Tanitikon/Saitikon Stoma,1,,1,0,,,,,0
Mutina,1,1,,1,,,,,#DIV/0!
Roma,25,,25,0,,,,,#DIV/0!
Thebai/Thebae,1,1,,1,,,,,1
Nilus (river),1,1,,1,,,,,1
Caucasus (mountain range),1,1,,1,,,,,#DIV/0!
Circeii 2,1,,1,0,,,,,0
Creta (island),1,1,,1,,,,,#DIV/0!
Sebennytikon Stoma,1,1,,1,,,,,0
Abydos,1,,1,0,,,,,0
Crete,1,,1,0,,,,,#DIV/0!
Cimbri,1,,1,0,,,,,0
Phthiotis,4,,4,0,,,,,0
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
