UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS
954744e1-ff4d-4487-a18d-045658e318f1,﻿Quaeritis,char-offset:0,PERSON,,,,,,,,
0d8ef700-1366-4922-98a4-46255d93010b,﻿Quaeritis,char-offset:0,PERSON,,,,,,,,
ef911c70-805c-456e-bad8-a9ccce9172c2,mihi,char-offset:17,PERSON,,,,,,,,"Propertius|Moved to Rome (Conte, p 331)|In my map - focus on the places evoked in this poem - here
personal pronouns are (of Propertius) evoke roman setting not likely the place
of his birth (Assisium). I argue the same for Maecenas. – Rome and not Arretium
(http://pleiades.stoa.org/places/413032)

Especially since the end of the poem is the setting of Propertius’
bustum."
dce83896-cc05-4067-a0ef-c0443617e6f4,meus,char-offset:57,PERSON,,,,,,,,"Propertius|PropertiusMoved to Rome (Conte, p 331)|In my map - focus on the places evoked in this poem - here
personal pronouns are (of Propertius) evoke roman setting not likely the place
of his birth (Assisium). I argue the same for Maecenas. – Rome and not Arretium
(http://pleiades.stoa.org/places/413032)

Especially since the end of the poem is the setting of Propertius’
bustum."
b1ab2453-1423-4181-a85f-a99abcb6fc94,Calliope,char-offset:100,PERSON,,,,,,,Mythological,"Mount Hellicon (Hesiod, Theogony 1 ff)."
3dc5e9e1-e7c0-4132-9c20-7a9cfbcef0b5,mihi,char-offset:119,PERSON,,,,,,,,"Propertius|Moved to Rome (Conte, p 331)|In my map - focus on the places evoked in this poem - here
personal pronouns are (of Propertius) evoke roman setting not likely the place
of his birth (Assisium). I argue the same for Maecenas. – Rome and not Arretium
(http://pleiades.stoa.org/places/413032)

Especially since the end of the poem is the setting of Propertius’
bustum."
505638db-2a6a-4aa1-bf4b-702642ef46ed,Apollo,char-offset:131,PERSON,,,,,,,Mythological,"For now I am placing Apollo at Delos, his birthplace, acording to the Homeric Hymns"
c451210e-fc48-4fca-a74a-2a76e305fa57,nobis,char-offset:151,PERSON,,,,,,,,Propertius
e010f0a3-e356-4023-bcee-0badc89121a2,ipsa puella,char-offset:157,PERSON,,,,,,,,
4ef462d5-e414-4cb3-802a-f3eee3005f58,Cois,char-offset:188,PLACE,http://pleiades.stoa.org/places/599581,"Kos/Cos (island)|Kos/Cos, Kos",36.844,27.17,island,VERIFIED,Pertaining to a location,"According to W.A. Camps, ""Cois: from the neut. pl. Coa = stuff of Cos, a fine and often transluscent silk-like material."" (p. 66)"
